case_number,court_id,state,district,case_category,case_type,current_stage,case_age_days,priority_score,priority_label,priority_emoji,disposal_days,legal_urgency_score,delay_risk_score,urgency_flags
CASE/2236/2022,KAR-HUB-12,Karnataka,Hubballi,General_Criminal,Criminal,Execution,3349,90.63,Critical,🔴,53,75.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3349d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3349d ≥ 608d); 🟠 Stagnation detected: 186d in 'Execution' stage; 📛 Aged case: 9+ years pending
CASE/2147/2015,MAD-GWA-06,Madhya Pradesh,Gwalior,General_Criminal,Criminal,Judgment,2415,90.46,Critical,🔴,48,80.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (2415d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (2415d ≥ 608d); 🟥 Critical stagnation: 254d in 'Judgment' stage (limit 60d); 📛 Aged case: 6+ years pending
CASE/4183/2019,GUJ-AHM-17,Gujarat,Ahmedabad,General_Criminal,Criminal,Execution,1985,89.58,Critical,🔴,50,80.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (1985d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (1985d ≥ 608d); 🟥 Critical stagnation: 242d in 'Execution' stage (limit 120d); 📛 Aged case: 5+ years pending
CASE/6057/2017,MAD-IND-02,Madhya Pradesh,Indore,General_Criminal,Criminal,Execution,2818,89.54,Critical,🔴,54,75.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (2818d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (2818d ≥ 608d); 🟠 Stagnation detected: 183d in 'Execution' stage; 📛 Aged case: 7+ years pending
CASE/0448/2015,RAJ-UDA-08,Rajasthan,Udaipur,General_Criminal,Criminal,Judgment,2519,88.93,Critical,🔴,50,75.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (2519d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (2519d ≥ 608d); 🟠 Stagnation detected: 112d in 'Judgment' stage; 📛 Aged case: 6+ years pending
CASE/0300/2017,RAJ-JOD-05,Rajasthan,Jodhpur,NDPS,Criminal,Arguments,2263,88.4,Critical,🔴,53,75.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (2263d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (2263d ≥ 1216d); 🟠 Stagnation detected: 138d in 'Arguments' stage; 📛 Aged case: 6+ years pending
CASE/5678/2017,DEL-EAS-10,Delhi,East,NDPS,Criminal,Judgment,2081,88.03,Critical,🔴,53,75.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (2081d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (2081d ≥ 1216d); 🟠 Stagnation detected: 111d in 'Judgment' stage; 📛 Aged case: 5+ years pending
CASE/2610/2019,KAR-BEN-18,Karnataka,Bengaluru,General_Criminal,Criminal,Execution,3589,87.62,Critical,🔴,55,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3589d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3589d ≥ 608d); 📛 Aged case: 9+ years pending
CASE/1951/2023,TAM-COI-14,Tamil Nadu,Coimbatore,General_Criminal,Criminal,Execution,3588,87.62,Critical,🔴,55,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3588d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3588d ≥ 608d); 📛 Aged case: 9+ years pending
CASE/7942/2019,BIH-PAT-18,Bihar,Patna,NDPS,Criminal,Execution,3553,87.55,Critical,🔴,55,65.0,100.0,⚠️ STATUTORY DEADLINE BREACHED (3553d > 1095d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (3553d ≥ 1216d); 📛 Aged case: 9+ years pending
