case_number,court_id,alert_type,message,severity
CASE/4502/2023,BIH-BHA-01,CRITICAL_PRIORITY,🔴 Critical priority case [POCSO] — Immediate attention required. Score: 78.7,CRITICAL
CASE/4502/2023,BIH-BHA-01,LONG_PENDING,📛 Case pending for 6.8 years [POCSO].,HIGH
CASE/4502/2023,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/9711/2017,BIH-BHA-01,CRITICAL_PRIORITY,🔴 Critical priority case [Motor_Accident] — Immediate attention required. Score: 78.6,CRITICAL
CASE/9711/2017,BIH-BHA-01,STAGE_STAGNATION,🟠 Stagnant in 'Judgment' stage for 303 days.,HIGH
CASE/9711/2017,BIH-BHA-01,LONG_PENDING,📛 Case pending for 9.0 years [Motor_Accident].,HIGH
CASE/9711/2017,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/4046/2021,BIH-BHA-01,LONG_PENDING,📛 Case pending for 9.8 years [Property_Dispute].,HIGH
CASE/4046/2021,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/9419/2015,BIH-BHA-01,LONG_PENDING,📛 Case pending for 5.8 years [POCSO].,HIGH
CASE/9419/2015,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/2305/2023,BIH-BHA-01,LONG_PENDING,📛 Case pending for 7.9 years [Senior_Citizen].,HIGH
CASE/2305/2023,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/0795/2021,BIH-BHA-01,LONG_PENDING,📛 Case pending for 6.3 years [Motor_Accident].,HIGH
CASE/0795/2021,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/3040/2022,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/9283/2018,BIH-BHA-01,LONG_PENDING,📛 Case pending for 8.1 years [Motor_Accident].,HIGH
CASE/9283/2018,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/4895/2018,BIH-BHA-01,LONG_PENDING,📛 Case pending for 9.6 years [Property_Dispute].,HIGH
CASE/4895/2018,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/8011/2024,BIH-BHA-01,LONG_PENDING,📛 Case pending for 5.7 years [General_Civil].,HIGH
CASE/9901/2019,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/7868/2024,BIH-BHA-01,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/3521/2021,BIH-BHA-02,CRITICAL_PRIORITY,🔴 Critical priority case [POCSO] — Immediate attention required. Score: 78.5,CRITICAL
CASE/3521/2021,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.5 years [POCSO].,HIGH
CASE/3521/2021,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/6177/2015,BIH-BHA-02,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 77.7,CRITICAL
CASE/6177/2015,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.4 years [SC_ST].,HIGH
CASE/6177/2015,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/3754/2023,BIH-BHA-02,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 77.4,CRITICAL
CASE/3754/2023,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.0 years [SC_ST].,HIGH
CASE/3754/2023,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/5716/2022,BIH-BHA-02,CRITICAL_PRIORITY,🔴 Critical priority case [Senior_Citizen] — Immediate attention required. Score: 76.9,CRITICAL
CASE/5716/2022,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.7 years [Senior_Citizen].,HIGH
CASE/5716/2022,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/6108/2015,BIH-BHA-02,LONG_PENDING,📛 Case pending for 8.4 years [SC_ST].,HIGH
CASE/6108/2015,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/0285/2019,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.6 years [POCSO].,HIGH
CASE/0285/2019,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/1977/2017,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.4 years [POCSO].,HIGH
CASE/1977/2017,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/6195/2021,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.4 years [SC_ST].,HIGH
CASE/6195/2021,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/6627/2020,BIH-BHA-02,LONG_PENDING,📛 Case pending for 7.5 years [Senior_Citizen].,HIGH
CASE/6627/2020,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/4405/2024,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/6233/2016,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/1772/2016,BIH-BHA-02,LONG_PENDING,📛 Case pending for 7.7 years [NDPS].,HIGH
CASE/1772/2016,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/1190/2019,BIH-BHA-02,LONG_PENDING,📛 Case pending for 6.5 years [Motor_Accident].,HIGH
CASE/1190/2019,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/8129/2022,BIH-BHA-02,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/7744/2020,BIH-BHA-03,CRITICAL_PRIORITY,🔴 Critical priority case [Senior_Citizen] — Immediate attention required. Score: 77.6,CRITICAL
CASE/7744/2020,BIH-BHA-03,LONG_PENDING,📛 Case pending for 7.7 years [Senior_Citizen].,HIGH
CASE/7744/2020,BIH-BHA-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/5524/2024,BIH-BHA-03,CRITICAL_PRIORITY,🔴 Critical priority case [Senior_Citizen] — Immediate attention required. Score: 77.2,CRITICAL
CASE/5524/2024,BIH-BHA-03,LONG_PENDING,📛 Case pending for 7.1 years [Senior_Citizen].,HIGH
CASE/5524/2024,BIH-BHA-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/4711/2017,BIH-BHA-03,LONG_PENDING,📛 Case pending for 6.2 years [General_Criminal].,HIGH
CASE/4711/2017,BIH-BHA-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/5216/2017,BIH-BHA-03,LONG_PENDING,📛 Case pending for 7.7 years [General_Civil].,HIGH
CASE/5216/2017,BIH-BHA-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/3711/2023,BIH-BHA-03,LONG_PENDING,📛 Case pending for 5.6 years [Motor_Accident].,HIGH
CASE/3711/2023,BIH-BHA-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/3997/2021,BIH-BHA-03,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/7075/2017,BIH-BHA-04,CRITICAL_PRIORITY,🔴 Critical priority case [SC_ST] — Immediate attention required. Score: 78.5,CRITICAL
CASE/7075/2017,BIH-BHA-04,LONG_PENDING,📛 Case pending for 7.4 years [SC_ST].,HIGH
CASE/7075/2017,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/3720/2015,BIH-BHA-04,LONG_PENDING,📛 Case pending for 9.9 years [Matrimonial].,HIGH
CASE/3720/2015,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/4044/2023,BIH-BHA-04,LONG_PENDING,📛 Case pending for 6.2 years [Matrimonial].,HIGH
CASE/4044/2023,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Matrimonial] case.,CRITICAL
CASE/0996/2017,BIH-BHA-04,UNDERTRIAL_THRESHOLD,🔴 BNSS 479: Undertrial pending 807 days. Bail eligibility to be reviewed.,CRITICAL
CASE/0996/2017,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/7069/2015,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/6372/2021,BIH-BHA-04,LONG_PENDING,📛 Case pending for 6.8 years [General_Criminal].,HIGH
CASE/6372/2021,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/8395/2019,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/5356/2017,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/5216/2022,BIH-BHA-04,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/4564/2022,BIH-BHA-05,LONG_PENDING,📛 Case pending for 7.2 years [Motor_Accident].,HIGH
CASE/4564/2022,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/1203/2024,BIH-BHA-05,LONG_PENDING,📛 Case pending for 5.9 years [POCSO].,HIGH
CASE/1203/2024,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/3144/2021,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/5133/2015,BIH-BHA-05,LONG_PENDING,📛 Case pending for 8.6 years [NDPS].,HIGH
CASE/5133/2015,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/3630/2016,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Criminal] case.,CRITICAL
CASE/3830/2021,BIH-BHA-05,LONG_PENDING,📛 Case pending for 6.8 years [NDPS].,HIGH
CASE/3830/2021,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/5487/2018,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/4144/2021,BIH-BHA-05,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/4751/2015,BIH-BHA-05,STAGE_STAGNATION,🟠 Stagnant in 'Execution' stage for 214 days.,HIGH
CASE/4751/2015,BIH-BHA-05,LONG_PENDING,📛 Case pending for 5.8 years [Property_Dispute].,HIGH
CASE/3903/2022,BIH-BHA-06,LONG_PENDING,📛 Case pending for 5.9 years [SC_ST].,HIGH
CASE/3903/2022,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/4152/2015,BIH-BHA-06,LONG_PENDING,📛 Case pending for 6.0 years [Senior_Citizen].,HIGH
CASE/4152/2015,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/7232/2021,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/2734/2018,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/0963/2023,BIH-BHA-06,LONG_PENDING,📛 Case pending for 9.6 years [General_Civil].,HIGH
CASE/0963/2023,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/4924/2021,BIH-BHA-06,LONG_PENDING,📛 Case pending for 7.3 years [NDPS].,HIGH
CASE/4924/2021,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/7481/2020,BIH-BHA-06,LONG_PENDING,📛 Case pending for 5.3 years [NDPS].,HIGH
CASE/7481/2020,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [NDPS] case.,CRITICAL
CASE/9315/2021,BIH-BHA-06,LONG_PENDING,📛 Case pending for 9.4 years [Property_Dispute].,HIGH
CASE/9315/2021,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
CASE/1717/2018,BIH-BHA-06,LONG_PENDING,📛 Case pending for 5.1 years [Motor_Accident].,HIGH
CASE/1717/2018,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Motor_Accident] case.,CRITICAL
CASE/7195/2020,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/9755/2016,BIH-BHA-06,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Commercial] case.,CRITICAL
CASE/6050/2023,BIH-BHA-06,STAGE_STAGNATION,🟠 Stagnant in 'Arguments' stage for 482 days.,HIGH
CASE/6710/2023,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [SC_ST] case.,CRITICAL
CASE/3249/2017,BIH-BHA-07,LONG_PENDING,📛 Case pending for 8.8 years [POCSO].,HIGH
CASE/3249/2017,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [POCSO] case.,CRITICAL
CASE/4858/2021,BIH-BHA-07,LONG_PENDING,📛 Case pending for 9.1 years [General_Civil].,HIGH
CASE/4858/2021,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [General_Civil] case.,CRITICAL
CASE/4613/2024,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Senior_Citizen] case.,CRITICAL
CASE/3843/2015,BIH-BHA-07,LONG_PENDING,📛 Case pending for 9.9 years [Property_Dispute].,HIGH
CASE/3843/2015,BIH-BHA-07,STATUTORY_BREACH,⚠️ Statutory deadline breached for [Property_Dispute] case.,CRITICAL
